		Downloads		
2014-02-12				30000
2014-03-04		600000		
2014-03-18				35000
2014-03-26				37000
2014-04-09				38500
2014-04-16		700000		
2014-05-01				40000
2014-05-08				41000
2014-05-19				42000
2014-05-26				43000
2014-06-03				44000
2014-06-09		800000		
2014-06-13				45000
2014-06-22				46000
2014-07-09				47000
2014-07-14				48000
2014-07-24				49000
2014-08-05				50000
2014-08-15				51000
2014-08-26				52000
2014-09-04				53000
2014-09-13				54000
2014-10-01				56000
2014-10-06				57000
2014-10-13				58000
2014-10-20				59000
2014-10-23				60000
2014-10-29				61000
2014-11-05				62000
2014-11-11				63000
2014-11-18				64000
2014-11-24				65000
2014-12-01				66000
2014-12-05				67000
2014-12-12				68000
2014-12-22				69000
2014-12-30		1447586		70000
2015-01-06				71000
2015-01-13	4170	1495777	264	72000
2015-01-14	4145	1500952		
2015-01-15		1505638		
2015-01-16	4165	1512885	266	
2015-01-17	4166	1516225		
2015-01-18		1522485		
2015-01-19	4173	1529927	267	73000
2015-01-20		1537248		
2015-01-21	4176	1544827	268	
2015-01-22		1550033		
2015-01-23		1555035		74000
2015-01-24		1558209		
2015-01-25		1561065		
2015-01-26		1564652		
2015-01-27	4189	1568605	270	
2015-01-28	4195	1573615		
2015-01-29		1580453		75000
2015-01-30		1587821		
2015-01-31		1592124		
2015-02-01		1596101		
2015-02-02	4200	1602159		
2015-02-03		1609078		76000
2015-02-04		1616101		
2015-02-05		1623124		
2015-02-06		1629611		
2015-02-07		1632821		77000
2015-02-08		1636031		
2015-02-09		1645759		
2015-02-10		1652233		
2015-02-11	4195	1658023	271	
2015-02-12		1664364		78000
2015-02-13		1669660		
2015-02-14		1673077		
2015-02-15	4196	1676494		
2015-02-16	4188	1676676	270	
2015-02-17		1680886		
2015-02-18		1685645		79000
2015-02-19		1691232		
2015-02-20	4189	1696997		
2015-02-21		1700057		
2015-02-22		1705666		
2015-02-23	4190	1711275		80000
2015-02-24		1717281		
2015-02-25		1722522		
2015-02-26		1726335		
2015-02-27		1732278		
2015-02-28		1735463		
2015-03-01		1737770		
2015-03-02	4189	1741503	269	81000
2015-03-03	4191	1745673		
2015-03-04		1751063		
2015-03-05		1755549		
2015-03-06		1759969		82000
2015-03-07		1764389		
2015-03-08		1768809		
2015-03-09	4361	1773232	270	
2015-03-10	4367	1781063		
2015-03-11		1789516		83000
2015-03-12	4384	1796686	272	
2015-03-13	4387	1803857		
2015-03-14		1807202		
2015-03-15		1814364		
2015-03-16	4398	1821527	274	
2015-03-17	4399	1827247	275	84000
2015-03-18		1834132		
2015-03-19		1840422		
2015-03-20	4400	1846203		
2015-03-21		1850869		
2015-03-22		1855535		
2015-03-23		1860261		85000
2015-03-24	4403	1867814	276	
2015-03-25	4405	1873694	277	
2015-03-26		1880806		86000
2015-03-27		1886007		
2015-03-28		1892170		
2015-03-29		1898333		
2015-03-30	4406	1904495	278	
2015-03-31		1911298		87000
2015-04-01	4396	1918102		
2015-04-02		1924055		
2015-04-03		1929884		
2015-04-04		1935713		
2015-04-05		1938075		
2015-04-06		1942328		
2015-04-07	4394	1946582	277	88000
2015-04-08		1951706		
2015-04-09	4326	1955616		
2015-04-10	4348	1959526	278	
2015-04-11	4349	1963436		
2015-04-12		1967346		
2015-04-13	4397	1971258		89000
2015-04-14	4465	1977080	280	
2015-04-15	4498	1982750	283	
2015-04-16	4503	1989188		
2015-04-17		1994816		90000
2015-04-18		1997241		
2015-04-19		1999666		
2015-04-20	4495	2002093		
2015-04-21		2009156		
2015-04-22	4500	2015562	284	
2015-04-23		2021543		91000
2015-04-24	4488	2025319		
2015-04-25		2030227		
2015-04-26		2035135		
2015-04-27	4489	2040044		
2015-04-28	4505	2046614	286	92000
2015-04-29	4507	2063215		
2015-04-30	4587	2074782	288	
2015-05-01		2079696		
2015-05-02		2083056		
2015-05-03		2086416		
2015-05-04	4589	2099789		93000
2015-05-05	4661	2105944	290	
2015-05-06		2112264		
2015-05-07	4663	2118584	292	
2015-05-08		2134083		
2015-05-09		2138397		
2015-05-10		2142711		
2015-05-11		2149385	293	94000
2015-05-12	4708	2156060	294	
2015-05-13		2161278		
2015-05-14		2166496		
2015-05-15		2171715		
2015-05-16		2175420		
2015-05-17		2179126		
2015-05-18		2183788		95000
2015-05-19	4759	2190676		
2015-05-20	4761	2201568	295	
2015-05-21		2212654		96000
2015-05-22	4764	2223741		
2015-05-23		2228028		
2015-05-24		2232315		
2015-05-25	4778	2236604		
2015-05-26	4781	2242724		
2015-05-27		2249030		97000
2015-05-28	4775	2255337	297	
2015-05-29	4781	2263156	299	
2015-05-30		2268254		
2015-05-31		2273352		
2015-06-01	4790	2278450	300	98000
2015-06-02		2285390		
2015-06-03	4802	2292563		
2015-06-04	4809	2297797	306	
2015-06-05		2302832		
2015-06-06		2307867		
2015-06-07		2312902		99000
2015-06-08		2319263		99361
2015-06-09	4865	2326081	309	
2015-06-10		2333304		99726
2015-06-11	4904	2340134		100000
2015-06-12		2346711		
2015-06-13		2350669		
2015-06-14		2354576		
2015-06-15		2358483		
2015-06-16	4917	2362390	310	
2015-06-17		2368624		101000
2015-06-18		2374858		
2015-06-19		2381092		
2015-06-20		2387326		
2015-06-21	4965	2393563	312	
2015-06-22		2400151		
2015-06-23	4969	2406739		
2015-06-24		2414535		
2015-06-25		2422331		
2015-06-26		2430127		
2015-06-27		2437923		
2015-06-28		2445719		
2015-06-29		2453515		103000
2015-06-30		2461311		
2015-07-01		2469107		
2015-07-02		2476903		
2015-07-03		2484699		
2015-07-04		2492495		
2015-07-05	5124	2500294	314	
2015-07-06		2504415		
2015-07-07		2508536		
2015-07-08	5141	2512659	315	
2015-07-09		2517790		
2015-07-10		2522921		
2015-07-11		2528052		
2015-07-12		2533183		
2015-07-13	5173	2538317	317	
2015-07-14		2544187		
2015-07-15		2550058		
2015-07-16	5194	2560643	318	
2015-07-17		2565863		
2015-07-18		2571083		
2015-07-19		2576303		
2015-07-20		2581525		106000
2015-07-21	5196	2583398		
2015-07-22		2583398		
2015-07-23	5237	2583398	319	
2015-07-24		2603036		
2015-07-25		2606174		
2015-07-26		2609312		
2015-07-27		2613705		107000
2015-07-28		2621221		
2015-07-29		2627843		
2015-07-30	5242	2634466	320	
2015-07-31	5335	2640221	321	
2015-08-01		2642995		
2015-08-02		2646315		
2015-08-03		2649635		
2015-08-04		2654465		108000
2015-08-05		2661074		
2015-08-06		2667390		
2015-08-07	5336	2673707		
2015-08-08		2677778		
2015-08-09		2681849		
2015-08-10		2685921		
2015-08-11	5334	2697752	320	109000
2015-08-12		2705148		
2015-08-13	5325	2712544		
2015-08-14		2717566		
2015-08-15		2721581		
2015-08-16		2725829		
2015-08-17		2730078		
2015-08-18	5588	2738238		110000
2015-08-19	5595	2745438	319	
2015-08-20	5598	2754560		
2015-08-21		2759840		
2015-08-22		2765120		
2015-08-23		2770400		
2015-08-24		2775680		111111
2015-08-25		2780960		
2015-08-26	5602	2786243		
2015-08-27		2791957		
2015-08-28		2797671		
2015-08-29		2803385		
2015-08-30	5606	2809102	320	
2015-08-31		2816335		112000
2015-09-01	5605	2823568		
2015-09-02		2831281		
2015-09-03		2837328		
2015-09-04		2843376		113000
2015-09-05		2849423		
2015-09-06		2855470		
2015-09-07	5655	2861520	322	
2015-09-08		2869393		
2015-09-09	5658	2877267		114000
2015-09-10		2883746		
2015-09-11		2890225		
2015-09-12		2896704		
2015-09-13		2903183		
2015-09-14	5712	2909662	324	
2015-09-15		2917647		115000
2015-09-16		2927553		
2015-09-17		2935517	327	
2015-09-18	5799	2943481	328	
2015-09-19		2950585		
2015-09-20		2957689		116000
2015-09-21		2964793		
2015-09-22		2971897		
2015-09-23		2979001		
2015-09-24		2986105		
2015-09-25		2993209		
2015-09-26	5881	3000318	331	
2015-09-27		3009793		
2015-09-28		3019268		
2015-09-29		3027397		
2015-09-30	5888	3035526	332	
2015-10-01	5890	3032788	333	
2015-10-02	5892	3045321	334	
2015-10-03		3054038		
2015-10-04		3062755		
2015-10-05		3071474		119000
2015-10-06		3075982		
2015-10-07	5893	3080491	335	120000
2015-10-08	5909	3081627	337	
2015-10-09		3093708		
2015-10-10		3105789		
2015-10-11		3117871		
2015-10-12		3131046		121000
2015-10-13		3144221		
2015-10-14		3157396		
2015-10-15	5945	3170572	340	
2015-10-16		3176447		122000
2015-10-17	5981	3182322	341	
2015-10-18		3170794		
2015-10-19		3159266		123000
2015-10-20	5997	3147740	342	
2015-10-21		3156387		
2015-10-22		3165034		
2015-10-23		3173681		124000
2015-10-24		3182328		
2015-10-25		3190975		
2015-10-26		3199622		
2015-10-27		3208269		125000
2015-10-28		3216916		
2015-10-29		3225563		
2015-10-30		3234210		126000
2015-10-31		3242857		
2015-11-01		3251504		
2015-11-02		3260151		
2015-11-03	6134	3268798	346	127000
2015-11-04		3278696		
2015-11-05		3288594		
2015-11-06	6191	3298492	349	
